identifier,asset_type,instruction,eligible_for_bounty,eligible_for_submission,availability_requirement,confidentiality_requirement,integrity_requirement,max_severity,system_tags,created_at,updated_at
*.shopifykloud.com,WILDCARD,"Environment: Non-core

Shopify Kloud includes all *.shopifykloud.com applications. Please note, there may be developer test or third party applications launched on the domain which may have low security implications for Shopify. If you are unsure about a subdomain on *.shopifykloud.com and it looks like a test application, email us at bugbounty AT shopify.com before spending time on it.",true,true,low,low,low,medium,,2020-05-08 14:05:07 UTC,2025-06-27 13:30:47 UTC
*.shopifycloud.com,WILDCARD,"Environment: Non-core

*.shopifycloud.com may include developer test or third party applications. For example,  devdegree*.shopifycloud.com, vendorvoice.shopifycloud.com, nsolid-test-console.shopifycloud.com. These types of domains are not considered in scope and reports pertaining to them will be closed Informative. If you are unsure about a domain and it looks like a test application, please email us at bugbounty@shopify.com before spending time on it.",true,true,low,low,low,medium,,2021-06-16 18:17:46 UTC,2025-06-27 13:34:48 UTC
linkpop.com,URL,Environment: Non-core,true,true,low,low,low,medium,,2022-01-25 22:03:35 UTC,2025-06-27 13:31:09 UTC
shopifyinbox.com,URL,Environment: Non-core,true,true,low,low,low,medium,,2022-02-03 22:04:00 UTC,2025-06-27 13:33:22 UTC
shop.app,URL,Environment: Core,true,true,medium,medium,medium,critical,,2022-02-08 14:26:27 UTC,2025-06-27 13:25:59 UTC
shopify.plus,URL,Environment: Core,true,true,medium,medium,medium,critical,,2022-03-22 19:06:40 UTC,2025-06-27 13:21:24 UTC
arrive-server.shopifycloud.com,URL,Environment: Core,true,true,medium,medium,medium,critical,,2022-03-22 19:07:26 UTC,2025-06-27 13:24:41 UTC
admin.shopify.com,URL,Environment: Core,true,true,medium,medium,medium,critical,,2023-06-09 19:45:36 UTC,2025-06-27 13:28:40 UTC
https://github.com/Shopify/*,SOURCE_CODE,"Environment: Non-core

Public repositories available under the Shopify organization in Github.",true,true,low,low,low,medium,,2024-01-30 15:33:53 UTC,2025-06-27 13:38:24 UTC
*.shopifycs.com,WILDCARD,"Environment: Non-core

Shopify's service for handling credit card data in a PCI compliant way.",true,true,medium,medium,medium,critical,,2024-02-14 17:33:21 UTC,2025-06-27 13:22:30 UTC
supplier-portal.shopifycloud.com,OTHER,"Environment: Non-core

Includes invoices.shopify.io, factures.shopify.io, invoices.shopify.cn, invoices.shopify.de, invoices.shopify.fr, invoices.shopify.jp",false,false,,,,none,,2024-03-13 20:00:04 UTC,2025-06-27 13:41:50 UTC
academy.shopify.com,URL,"Environment: Non-core

Operated by a third party.",false,false,none,none,none,none,,2024-10-09 14:13:16 UTC,2025-06-27 13:42:43 UTC
community.shopify.dev,URL,"Environment: Non-core

community.shopify.dev is a third party service and not in scope of our bug bounty program. Please do not test this subdomain.",false,false,,,,critical,,2024-11-08 17:50:50 UTC,2025-06-27 13:43:07 UTC
*.pci.shopifyinc.com,WILDCARD, Environment: Core,true,true,medium,medium,medium,critical,,2025-01-28 20:40:02 UTC,2025-06-27 13:27:16 UTC
Authentication & ATO,OTHER,,true,true,none,high,high,critical,,2026-06-05 17:57:37 UTC,2026-06-05 20:17:37 UTC
